t,cam1_x,cam1_y,cam1_src,cam2_x,cam2_y,cam2_src
651,848.0,765.0,detected,,,none
652,862.0,758.0,detected,,,none
653,878.0,746.0,detected,,,none
654,892.0,739.0,detected,,,none
655,908.0,731.0,detected,,,none
656,922.0,724.0,detected,,,none
657,934.0,720.0,detected,,,none
658,949.0,712.0,detected,,,none
659,960.0,705.0,detected,,,none
660,971.0,701.0,detected,,,none
661,982.0,694.0,detected,,,none
662,994.0,690.0,detected,,,none
663,1009.0,686.0,detected,,,none
664,1016.0,679.0,detected,,,none
665,1031.0,675.0,detected,,,none
666,1039.0,671.0,detected,,,none
667,1046.0,664.0,detected,,,none
668,1061.0,660.0,detected,,,none
669,1069.0,652.0,detected,,,none
670,1076.0,649.0,detected,,,none
671,1088.0,645.0,detected,,,none
672,,,none,,,none
673,,,none,,,none
674,,,none,,,none
675,,,none,,,none
676,,,none,,,none
677,,,none,,,none
678,,,none,,,none
679,,,none,,,none
680,,,none,,,none
681,,,none,,,none
682,,,none,,,none
683,,,none,,,none
684,,,none,,,none
685,,,none,,,none
686,,,none,,,none
687,,,none,,,none
688,,,none,,,none
689,,,none,,,none
690,,,none,,,none
691,,,none,,,none
692,,,none,,,none
693,,,none,,,none
694,,,none,,,none
695,,,none,,,none
696,,,none,,,none
697,,,none,,,none
698,,,none,,,none
699,,,none,,,none
700,,,none,,,none
701,,,none,,,none
702,,,none,,,none
703,,,none,,,none
704,,,none,,,none
705,,,none,,,none
706,,,none,,,none
707,,,none,,,none
708,,,none,,,none
709,,,none,,,none
710,,,none,,,none
711,,,none,,,none
712,,,none,,,none
713,,,none,,,none
714,,,none,,,none
715,,,none,,,none
716,,,none,,,none
717,851.0,259.0,detected,,,none
718,874.0,262.0,detected,,,none
719,889.0,262.0,detected,,,none
720,904.0,266.0,detected,,,none
721,,,none,,,none
722,1418.0,322.0,detected,,,none
723,1432.0,326.0,detected,,,none
724,1444.0,330.0,detected,,,none
725,1455.0,334.0,detected,,,none
726,1466.0,334.0,detected,,,none
727,,,none,,,none
728,859.0,559.0,detected,,,none
729,859.0,581.0,detected,,,none
730,855.0,608.0,detected,,,none
731,855.0,600.0,detected,,,none
732,855.0,581.0,detected,,,none
733,851.0,566.0,detected,,,none
734,851.0,555.0,detected,,,none
735,851.0,551.0,detected,,,none
736,848.0,540.0,detected,,,none
737,855.9,541.4,inpaint,,,none
738,863.8,542.8,inpaint,,,none
739,871.6,544.1,inpaint,,,none
740,879.5,545.5,inpaint,,,none
741,887.4,546.9,inpaint,,,none
742,895.2,548.2,inpaint,,,none
743,903.1,549.6,inpaint,,,none
744,911.0,551.0,detected,,,none
745,919.0,570.0,detected,1024.0,975.0,detected
746,934.0,585.0,detected,994.0,908.0,detected
747,960.0,619.0,detected,964.0,851.0,detected
748,968.0,638.0,detected,934.0,802.0,detected
749,986.0,675.0,detected,915.0,772.0,inpaint
750,1005.0,720.0,detected,896.0,742.0,detected
751,1028.0,772.0,detected,881.0,724.0,detected
752,1050.0,832.0,detected,866.0,709.0,detected
753,1072.0,900.0,detected,851.0,701.0,detected
754,1099.0,979.0,detected,844.0,698.0,detected
755,,,none,832.0,698.0,detected
756,,,none,825.0,701.0,detected
757,,,none,818.0,705.0,detected
758,,,none,814.0,694.0,detected
759,,,none,806.0,660.0,detected
760,,,none,802.0,634.0,detected
761,,,none,795.0,604.0,detected
762,,,none,791.0,581.0,detected
763,,,none,788.0,566.0,detected
764,,,none,784.0,551.0,detected
765,,,none,776.0,536.0,detected
766,,,none,776.0,532.0,detected
767,,,none,772.0,525.0,detected
768,,,none,772.0,518.0,detected
769,,,none,784.4,516.8,inpaint
770,,,none,796.8,515.6,inpaint
771,,,none,809.2,514.4,inpaint
772,,,none,821.6,513.2,inpaint
773,,,none,834.0,512.0,inpaint
774,,,none,846.4,510.8,inpaint
775,,,none,858.8,509.6,inpaint
776,,,none,871.2,508.4,inpaint
777,,,none,883.6,507.2,inpaint
778,990.0,720.0,detected,896.0,506.0,detected
779,956.0,682.0,detected,919.0,514.0,detected
