frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
189,1,2025.1,1152.8,0,,,5.581,18.567,,side-1
190,1,2083.3,1219.7,1,1638.8,1106.2,5.820,17.262,,side-1
191,1,2132.1,1301.3,1,1617.1,1108.0,5.977,15.864,,side-1
192,1,2195.7,1399.5,1,1602.5,1099.8,6.160,14.412,,side-1
193,1,2267.0,1519.6,1,1587.4,1098.1,5.935,8.160,1.686,both (3D)
194,1,2338.0,1664.0,1,1570.0,1100.3,6.051,7.558,1.527,both (3D)
195,1,2422.0,1826.9,1,1542.9,1117.1,6.198,7.036,1.329,both (3D)
196,1,2493.9,2016.1,1,1541.2,1114.0,6.270,6.366,1.171,both (3D)
197,1,2521.6,2037.7,0,,,6.655,8.544,,side-1
198,1,2507.6,2027.5,1,1522.4,1162.5,6.336,6.586,1.033,both (3D)
199,0,,,1,1501.3,1195.5,6.794,3.300,,side-2
200,0,,,1,1492.4,1222.6,6.797,3.769,,side-2
201,0,,,1,1466.2,1070.3,7.195,0.778,,side-2
202,1,1782.5,1223.4,1,1464.6,1031.6,4.380,17.189,,side-1
203,0,,,1,1464.3,999.4,7.364,-0.944,,side-2
204,0,,,1,1462.5,982.4,7.417,-1.397,,side-2
205,0,,,1,1454.4,954.6,7.539,-2.181,,side-2
206,0,,,1,1451.4,950.2,7.569,-2.311,,side-2
207,0,,,1,1446.9,925.2,7.670,-3.063,,side-2
208,0,,,0,,,,,,lost
209,0,,,1,1407.4,881.6,8.073,-4.509,,side-2
210,0,,,0,,,,,,lost
211,0,,,1,1394.2,861.8,8.238,-5.216,,side-2
212,0,,,0,,,,,,lost
213,0,,,1,1367.9,850.2,8.470,-5.660,,side-2
214,0,,,1,1370.9,842.7,8.481,-5.939,,side-2
215,0,,,1,1371.1,834.3,8.517,-6.264,,side-2
216,1,3264.0,2085.9,1,1339.0,853.7,7.276,4.625,1.906,both (3D)
217,1,3176.9,1919.0,1,1218.8,993.8,7.596,6.005,1.588,both (3D)
218,1,2959.4,1568.5,0,,,8.830,12.358,,side-1
219,1,3014.7,1666.6,0,,,8.776,11.367,,side-1
220,1,2827.4,1455.0,1,1223.9,1038.4,7.271,8.038,1.899,both (3D)
221,1,2761.1,1407.4,1,1189.5,1097.8,7.269,8.694,1.831,both (3D)
222,1,2836.8,1464.3,1,1160.9,1189.6,7.439,8.791,1.588,both (3D)
223,1,2783.3,1434.7,1,1131.1,1275.1,7.437,9.414,1.471,both (3D)
224,1,2680.5,1404.4,1,1106.5,1391.8,7.342,10.240,1.323,both (3D)
225,1,2657.4,1401.0,0,,,8.076,14.392,,side-1
226,1,2658.0,1417.3,1,1212.4,1253.2,7.122,9.464,1.531,both (3D)
227,1,2688.4,1475.6,1,1168.9,1337.4,7.254,9.623,1.300,both (3D)
228,0,,,1,1210.0,1247.1,8.075,4.088,,side-2
229,1,2808.7,1668.7,1,1107.1,1575.3,7.584,9.732,0.593,both (3D)
230,1,2877.1,1810.5,1,1363.7,1026.2,7.016,6.453,1.591,both (3D)
231,0,,,1,1107.4,1519.8,7.906,7.709,,side-2
232,1,3033.1,2126.7,1,1106.5,1512.1,7.887,7.842,0.083,both (3D)
233,0,,,1,1423.2,965.6,7.699,-1.884,,side-2
234,0,,,1,1425.7,967.6,7.679,-1.828,,side-2
235,0,,,1,1439.7,958.8,7.617,-2.067,,side-2
236,0,,,1,1459.6,956.7,7.501,-2.116,,side-2
237,0,,,1,1481.6,958.6,7.361,-2.049,,side-2
238,0,,,1,1493.5,966.0,7.270,-1.832,,side-2
239,0,,,1,1518.7,976.4,7.094,-1.529,,side-2
240,0,,,1,1526.3,1008.8,6.982,-0.669,,side-2
241,0,,,1,1523.1,1022.3,6.973,-0.331,,side-2
242,0,,,1,1520.9,1058.4,6.918,0.531,,side-2
243,0,,,1,1517.2,1043.0,6.967,0.168,,side-2
244,0,,,1,1511.4,1038.8,7.008,0.066,,side-2
245,0,,,1,1503.6,1031.4,7.067,-0.118,,side-2
