frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
442,1,2220.4,1154.3,0,,,6.616,18.586,,side-1
443,1,2219.1,1212.7,1,1601.2,1200.1,5.858,10.191,1.913,both (3D)
444,1,2217.0,1275.8,1,1622.8,1159.7,5.817,9.621,1.882,both (3D)
445,1,2212.5,1371.1,1,1628.6,1159.3,5.801,9.155,1.750,both (3D)
446,1,2209.8,1484.1,1,1653.7,1143.9,5.751,8.530,1.634,both (3D)
447,1,2211.7,1628.1,1,1671.6,1135.6,5.717,7.863,1.485,both (3D)
448,1,2197.5,1770.0,1,1669.1,1138.9,5.702,7.357,1.328,both (3D)
449,1,2187.0,1967.5,1,1697.7,1142.5,5.631,6.675,1.133,both (3D)
450,1,2201.4,1777.5,1,1715.9,1147.2,5.618,7.328,1.302,both (3D)
451,0,,,1,1733.0,1157.2,4.326,17.353,,side-2
452,1,2284.7,1027.9,1,1744.4,1162.8,7.228,21.585,,side-1
453,1,2251.7,984.7,1,1766.4,1184.2,4.501,16.840,,side-2
454,1,2238.8,980.5,1,1771.6,1209.4,4.533,16.395,,side-2
455,0,,,0,,,,,,lost
456,1,2245.9,943.7,0,,,,,,lost
457,0,,,1,1813.1,1035.0,4.703,19.919,,side-2
458,0,,,1,1811.3,1070.3,4.699,19.105,,side-2
459,1,2307.1,977.9,1,1818.2,1004.5,4.726,20.668,,side-2
460,1,2320.5,982.2,1,1820.9,985.1,4.739,21.170,,side-2
461,0,,,1,1826.9,948.4,,,,lost
462,0,,,1,1825.3,946.4,,,,lost
463,0,,,1,1824.8,921.9,,,,lost
464,0,,,1,1831.9,900.2,,,,lost
465,0,,,1,1834.1,888.0,,,,lost
466,0,,,1,1834.6,884.7,,,,lost
467,0,,,0,,,,,,lost
468,0,,,0,,,,,,lost
469,0,,,0,,,,,,lost
470,0,,,0,,,,,,lost
471,1,2390.0,2123.4,0,,,6.226,8.027,,side-1
